,intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,interlinear_spacing,weight,peak_number,modular_ratio/interlinear_spacing,label
,-3.498799,0.250492,0.23207,1.224178,-4.922215,1.145386,0.182426,-0.165983,-0.123005,1.087144,W
0.0,0.204355,-0.354049,0.32098,0.410166,-0.989576,-2.218127,0.220177,0.181844,2.090879,-2.009758,A
1.0,0.759828,-1.304042,-0.023991,-0.973663,-0.006417,-0.349509,-0.42158,-0.450127,0.469443,0.060952,I
2.0,-0.00549,0.360409,0.28186,-0.213479,-1.168333,-1.013906,-0.34608,1.176165,0.968347,-0.627999,E
3.0,0.080916,0.10132,0.10404,0.14049,0.261718,0.480988,0.710932,-0.25343,-0.497183,0.155681,A
4.0,0.068573,-0.181323,-3.210528,-0.294311,-1.168333,0.356414,-0.006326,-0.21955,0.126447,0.448186,F
5.0,-0.301743,-0.314793,0.399221,0.77052,0.708609,0.564038,-1.403091,-1.459107,-0.091823,1.62742,Y
6.0,0.031541,-0.118513,0.374326,-0.066706,0.261718,0.605563,0.55993,-0.258129,0.095265,0.344766,A
7.0,-0.091897,-0.118513,0.189393,1.280303,0.261718,0.314889,0.069175,1.277183,0.531806,0.359002,A
8.0,0.377169,0.014957,0.381439,0.292753,0.261718,-0.307984,0.52218,0.370989,0.562987,-0.440132,H
9.0,-0.202992,-0.338346,0.434785,-0.184417,0.082961,0.813187,0.295677,1.024783,0.375899,0.67123,A
10.0,0.019197,0.525284,0.068476,0.166658,0.261718,-0.10036,-0.119577,0.100105,0.095265,0.108171,F
11.0,0.266074,0.164129,0.118265,0.320234,0.261718,-0.307984,0.52218,0.17732,-0.341275,-0.43443,A
12.0,0.204355,-0.448263,0.349432,0.689659,0.261718,-0.598658,0.069175,-0.141132,-0.715453,-0.465219,A
13.0,-0.141273,-0.055704,0.207175,0.246982,0.261718,-0.349509,-0.38383,-0.148062,-0.123005,0.029258,F
14.0,-0.511588,-0.620989,0.491688,-2.053711,-0.006417,1.020811,-0.270579,0.088902,-0.123005,1.252758,D
15.0,-0.042522,0.407516,-3.210528,-0.636404,0.261718,0.564038,-0.006326,-0.335499,-0.466001,0.663262,A
16.0,-0.32643,-0.652394,0.384996,-1.694222,-0.185173,-1.138481,-0.044076,-0.863753,0.095265,-0.895057,E
17.0,0.759828,-1.304042,-0.023991,-0.973663,-0.006417,-0.681707,-1.138838,-1.404259,-0.060642,0.168869,I
18.0,0.698109,-0.306942,-0.03466,0.062642,0.976743,-0.307984,-1.28984,-0.567882,1.03071,0.672231,I
19.0,0.216699,-2.08916,0.424116,-0.457525,0.082961,-0.10036,0.220177,1.206162,0.781258,-0.084735,A
20.0,0.278418,-0.197025,0.239183,-0.73839,0.261718,0.564038,0.597681,-2.156567,-1.151994,0.274158,F
21.0,0.117948,-0.220579,0.367214,0.914608,0.261718,-0.307984,-0.232828,1.1119,0.469443,-0.034718,A
22.0,0.587014,0.399665,0.064919,0.116828,-1.615223,1.726734,0.295677,0.303016,-0.154186,1.516934,A
23.0,-0.128929,-0.03215,0.068476,-0.151655,-0.989576,-0.681707,0.333428,-0.687345,-1.058449,-0.670047,F
24.0,0.15498,0.054213,0.164499,-0.048325,0.261718,0.06574,0.069175,0.027685,0.126447,0.147326,A
25.0,0.019197,0.289748,-0.116457,1.524856,-0.542686,1.145386,0.786433,-0.240616,-0.278912,0.692098,F
26.0,0.031541,0.666605,-0.095119,0.010217,0.17234,-0.806282,0.55993,0.807447,1.124254,-0.890705,G
27.0,0.080916,0.062064,0.203619,0.577021,0.261718,-0.806282,0.446679,0.879925,0.438262,-0.836227,H
28.0,0.216699,-0.291239,0.349432,0.50711,0.261718,0.937762,0.144676,-0.277563,-0.341275,0.889826,A
29.0,-0.264711,0.156278,0.402778,1.483948,0.17234,0.771662,-0.157328,-0.29727,1.654339,0.978588,X
30.0,0.599358,-0.377602,0.242739,-0.151028,0.976743,-0.557133,-0.006326,0.079641,1.68552,-0.386571,I
31.0,-0.314087,-0.236281,0.029355,0.460861,0.261718,1.145386,-0.044076,-0.609489,-0.123005,1.199209,A
32.0,0.130292,-0.212727,0.324537,0.386474,0.261718,-0.557133,0.295677,1.011697,0.251173,-0.544747,F
33.0,0.31545,-0.330495,0.555703,-0.374098,0.708609,0.314889,-0.761334,-0.541963,0.562987,0.913696,Y
34.0,-0.277055,0.030659,0.441898,0.131866,0.17234,-1.055431,-0.044076,0.111541,0.531806,-0.821978,D
35.0,-0.190648,-0.691649,0.28186,-0.194472,0.17234,0.107265,-2.271351,0.505033,0.594169,-1.643909,E
36.0,0.216699,0.124874,-3.210528,-0.886924,0.261718,0.397939,0.371178,-0.457544,-0.497183,0.271844,A
37.0,0.4142,-0.16562,0.05425,-0.891996,0.976743,-1.512204,-1.478592,-1.215386,0.500624,-0.489534,I
38.0,0.944986,0.132725,0.136047,0.564936,0.17234,0.314889,0.408929,0.137247,-0.216549,0.184191,A
39.0,0.09326,-0.102811,0.01513,-1.203774,0.082961,-0.640182,-2.950858,-1.400803,-0.87136,-1.89515,A
40.0,-0.030178,-0.346197,0.235627,-1.08105,0.17234,-0.930856,0.484429,-0.422655,0.750076,-0.961746,E
41.0,-0.32643,-0.157769,0.424116,1.924954,0.17234,0.231839,0.597681,1.118773,2.184424,0.010766,X
42.0,-3.498799,-0.291239,0.37077,-0.281212,-4.922215,-0.972381,-0.119577,-1.788761,-1.401445,-0.724694,F
43.0,0.056229,0.43107,-3.210528,-1.133148,0.261718,0.605563,0.144676,-0.761725,0.469443,0.597875,A
44.0,-0.301743,0.195534,0.381439,0.351116,0.082961,-0.058835,0.446679,-0.08172,0.874802,-0.17721,E
